pid,label,agent,location,longitude,latitude,dateStart,dateEnd,recnum,catalogrecord,collectionnum,worktype,tTags,originalwork,citeas,repository,archcoll,box,folder,format,rights,order,layout,collection,thumbnail,full,bibliography,collectingprogram,materials,description,measurement,manifest,youtubeid,filename
obj1,Fragment in Greek from the Gospel of Matthew (front),Unknown,"Ithaca, NY",-76.501884,42.443962,1100,1300,RMC2019_0182,4916228,6532,"Medieval
fragments","Bible,Bible—Manuscripts,Bible. New Testament. Greek--Versions",Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.,0,medfrag_item,medievalfragments,/img/derivatives/simple/obj1/thumbnail.jpg,/img/derivatives/simple/obj1/fullwidth.jpg,,,,,,,,
obj2,Fragment in Greek from the Gospel of Matthew (back),Unknown,"Ithaca, NY",-76.501884,42.443962,1100,1300,RMC2019_0183,4916228,6532,"Medieval
fragments","Bible,Bible—Manuscripts,Bible. New Testament. Greek--Versions",Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library. n.d.,Medieval Manuscript Fragments #6532. Division of Rare and Manuscript Collections Cornell University Library.,Division of Rare and Manuscript Collections_Cornell University Library,Medieval manuscript fragments,Mapcase-B-13,Mapcase Folder 1,image/jpeg,Presumed to be in the public domain because of creation date.,1,medfrag_item,medievalfragments,/img/derivatives/simple/obj2/thumbnail.jpg,/img/derivatives/simple/obj2/fullwidth.jpg,,,,,,,,
obj11,Parchment fragment on f. 132,,"Ferrara, Italy",11.619787,44.8392,1323,1350,RMC2009_0159,3978609,,parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",10,medfrag_item,medievalfragments,/img/derivatives/simple/obj11/thumbnail.jpg,/img/derivatives/simple/obj11/fullwidth.jpg,f. 132,Manuscripts,,,,,,
obj12,Parchment fragment on f. 169,,"Ferrara, Italy",11.619787,44.8392,1323,1350,RMC2009_0161,3978609,,parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",11,medfrag_item,medievalfragments,/img/derivatives/simple/obj12/thumbnail.jpg,/img/derivatives/simple/obj12/fullwidth.jpg,f. 169,Manuscripts,,,,,,
obj13,Parchment fragment on f. 58,,"Ferrara, Italy",11.619787,44.8392,1323,1350,RMC2009_0155,3978609,,parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",12,medfrag_item,medievalfragments,/img/derivatives/simple/obj13/thumbnail.jpg,/img/derivatives/simple/obj13/fullwidth.jpg,f. 58,Manuscripts,,,,,,
obj14,Parchment fragment on f. 66,,"Ferrara, Italy",11.619787,44.8392,1323,1350,RMC2009_0157,3978609,,parchment,Catholic Church --Liturgy --Texts --Manuscripts,Ordo manualis [Ferrariensis Ecclesiae],,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",13,medfrag_item,medievalfragments,/img/derivatives/simple/obj14/thumbnail.jpg,/img/derivatives/simple/obj14/fullwidth.jpg,f. 66,Manuscripts,,,,,,
obj15,"AM [aman. frag.] (Manuscript fragment from Dante, Divine Comedy)",Unknown,"Ferrara, Italy",11.619787,44.8392,1350,,U0250_0049,,,manuscripts (document genre),,,,,,,,image/jpeg,For Educational Use by Cornell Community,14,medfrag_item,medievalfragments,/img/derivatives/simple/obj15/thumbnail.jpg,/img/derivatives/simple/obj15/fullwidth.jpg,,,on vellum,,,,,
obj16,Bonaventure's Lyffe of Chryste in Englysshe p.4,,"Ferrara, Italy",11.619787,44.8392,1430,,RMC2007_0221,3817329,,"text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",15,medfrag_item,medievalfragments,/img/derivatives/simple/obj16/thumbnail.jpg,/img/derivatives/simple/obj16/fullwidth.jpg,p.4,Rare Books,,Bonaventure's Life of Christ in England,,,,
obj17,Bonaventure's Lyffe of Chryste in Englysshe p.2,,"Ferrara, Italy",11.619787,44.8392,1430,,RMC2007_0219,3817329,,"text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",16,medfrag_item,medievalfragments,/img/derivatives/simple/obj17_Detail_of_-Bonaventure'sLyffeChryste-1430/thumbnail.jpg,/img/derivatives/simple/obj17_Detail_of_-Bonaventure'sLyffeChryste-1430/fullwidth.jpg,p.2,Rare Books,,Bonaventure's Life of Christ in England,,,,
obj18,Bonaventure's Lyffe of Chryste in Englysshe p.1,,"Ferrara, Italy",11.619787,44.8392,1430,,RMC2007_0218,3817329,,"text
prints (visual works)",Religion,The Mirrour of the Blessed Lyf of Jesu Christi / Nicholas Love,,Division of Rare and Manuscript Collections_Cornell University Library,,,,image/jpeg,"For information regarding copyright for this image, send inquiries to rarerepro@cornell.edu",17,medfrag_item,medievalfragments,/img/derivatives/simple/obj18/thumbnail.jpg,/img/derivatives/simple/obj18/fullwidth.jpg,p.1,Rare Books,,Bonaventure's Life of Christ in England,,,,
